WEO Country Code,ISO,Country,Units,Scale,Country/Series-specific Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
624,CPV,Cabo Verde,Percent change,,,5.997,5.698,0.692,1.403,3.045,7.31,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.283,7.502,4.927,5.81,9.118,9.218,6.651,-1.271,1.467,3.969,1.081,0.804,0.611,1.006,4.706,3.702,4.531,5.668,-6.771,4.481,4.78,5.747,6.003,6.199,2018
522,KHM,Cambodia,Percent change,,,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.533,7.045,-2.756,6.752,7.334,7.357,7.366,6.9,2018
622,CMR,Cameroon,Percent change,,,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.553,4.368,4.237,4.567,6.781,2.021,3.458,4.902,3.489,2.199,3.423,4.129,4.543,5.404,5.884,5.651,4.648,3.549,4.062,3.855,-2.769,3.437,4.303,4.813,5.378,5.421,2019
156,CAN,Canada,Percent change,,,4.41,2.317,0.165,-2.086,0.9,2.661,4.494,2.694,1.619,4.28,3.896,5.163,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.171,2.014,1.656,-7.141,5.176,3.401,2.435,1.831,1.7,2019
626,CAF,Central African Republic,Percent change,,,1.718,3.79,1.364,-0.799,-4.923,-1.198,12.572,3.166,-6.157,4.105,3.34,2.887,-3.581,2.609,2.091,-2.249,-0.096,2.931,4.754,4.031,2.613,2.812,4.631,4.195,5.054,-36.392,0.08,4.338,4.75,4.528,3.82,2.97,-0.956,2.989,5.015,5.01,5.006,4.955,2017
628,TCD,Chad,Percent change,,,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-5.558,-2.38,2.303,2.96,-0.666,6.091,4.828,3.918,3.785,3.81,2017
228,CHL,Chile,Percent change,,,7.288,10.605,3.671,7.715,11.132,6.722,5.062,8.844,6.872,7.416,4.356,-0.456,5.335,3.301,3.096,4.09,7.202,5.742,6.316,4.912,3.567,-1.588,5.824,6.119,5.332,4.047,1.768,2.3,1.732,1.168,3.952,1.118,-6.001,4.495,3.216,2.945,2.69,2.507,2019
924,CHN,China,Percent change,,,11.2,4.2,3.888,9.3,14.2,13.9,13,10.919,9.9,9.2,7.8,7.7,8.523,8.355,9.147,10.018,10.152,11.365,12.721,14.253,9.65,9.401,10.563,9.5,7.9,7.8,7.3,6.9,6.849,6.947,6.75,6.11,1.851,8.237,5.798,5.733,5.646,5.494,2019
233,COL,Colombia,Percent change,,,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.717,6.738,3.283,1.139,4.495,6.948,3.913,5.134,4.499,2.956,2.087,1.359,2.515,3.26,-8.182,4.04,3.65,3.846,3.846,3.746,2019
632,COM,Comoros,Percent change,,,5.068,-0.816,7.363,-6.156,7.382,2.511,-4.007,5.63,-0.525,4.402,0.014,2.724,-0.967,5.444,4.616,1.971,3.1,5.745,-1.829,0.804,3.965,3.241,3.778,4.144,3.168,4.466,2.107,1.299,3.457,4.177,3.639,1.866,-1.818,2.9,3.812,3.999,4.044,4.177,2018
