WEO Country Code,ISO,Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
522,KHM,Cambodia,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.533,6.97,6.772,6.704,6.639,6.561,6.514,2018
622,CMR,Cameroon,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.553,4.368,4.237,4.567,6.781,2.021,3.458,4.902,3.489,2.199,3.423,4.129,4.543,5.404,5.884,5.651,4.648,3.549,4.062,3.995,4.167,4.511,4.962,5.241,5.395,2017
156,CAN,Canada,4.41,2.317,0.164,-2.086,0.901,2.661,4.495,2.692,1.619,4.28,3.898,5.161,5.179,1.789,3.017,1.801,3.087,3.203,2.635,2.073,1.008,-2.928,3.089,3.147,1.762,2.33,2.868,0.69,1.107,2.979,1.879,1.545,1.761,1.756,1.719,1.7,1.7,2018
626,CAF,Central African Republic,1.718,3.79,1.364,-0.799,-4.923,-1.198,12.572,3.166,-6.157,4.105,3.34,2.887,-3.581,2.609,2.091,-2.249,-0.096,2.931,4.754,4.031,2.613,2.812,4.631,4.195,5.054,-36.392,0.08,4.338,4.75,4.528,3.82,4.457,4.969,4.963,4.988,4.987,4.99,2017
628,TCD,Chad,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-5.558,-2.38,2.444,2.284,5.442,4.815,5.35,4.08,3.748,2017
228,CHL,Chile,7.288,10.605,3.671,7.715,11.132,6.722,5.062,8.844,6.869,7.417,4.362,-0.463,5.336,3.305,3.094,4.091,7.2,5.743,6.318,4.912,3.567,-1.594,5.825,6.119,5.332,4.049,1.769,2.306,1.694,1.255,4.024,2.515,3.017,3.229,3.265,3.261,3.19,2018
924,CHN,China,11.2,4.2,3.888,9.3,14.2,13.9,13,10.919,9.9,9.2,7.8,7.7,8.523,8.355,9.147,10.018,10.152,11.365,12.721,14.253,9.65,9.401,10.563,9.5,7.9,7.8,7.3,6.9,6.734,6.757,6.567,6.139,5.819,5.9,5.7,5.6,5.5,2018
233,COL,Colombia,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.779,6.849,3.257,1.205,4.348,7.363,3.903,4.567,4.728,2.956,2.087,1.351,2.569,3.356,3.646,3.749,3.75,3.75,3.749,2018
632,COM,Comoros,5.068,-0.816,7.363,-6.156,7.382,2.511,-4.007,5.63,-0.525,4.402,0.014,2.724,-0.967,5.444,4.616,1.971,3.1,5.745,-1.829,0.804,3.965,3.241,3.778,4.144,3.168,4.466,2.107,1.147,2.603,2.952,2.956,1.253,4.249,3.603,3.511,3.533,3.456,2016
636,COD,Democratic Republic of the Congo,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-6.144,2.762,-1.935,-7.84,-3.875,-3.802,-8.136,-2.1,2.948,5.578,6.738,6.135,5.321,6.259,6.226,2.855,7.108,6.875,7.087,8.482,9.47,6.916,2.399,3.727,5.816,4.291,3.891,3.393,4.507,4.268,4.608,2018
